Turno	FEN	Stockfish_Move	MCTS_Opinion	MCTS_4000
42	3r2k1/p3pp1p/1n3bpB/8/1q6/2N2Q1P/PP3PP1/3R2K1 b - - 1 21	d8d1	b4d4	b4d4
43	6k1/p3pp1p/1n3bpB/8/1q6/2N2Q1P/PP3PP1/3r2K1 w - - 0 22	f3d1	f3d1	f3d1
44	6k1/p3pp1p/1n3bpB/8/1q6/2N4P/PP3PP1/3Q2K1 b - - 0 22	e7e6	b4c4	b4c4
45	6k1/p4p1p/1n2pbpB/8/1q6/2N4P/PP3PP1/3Q2K1 w - - 0 23	g2g3	h6f4	h6f4
46	6k1/p4p1p/1n2pbpB/8/1q6/2N3PP/PP3P2/3Q2K1 b - - 0 23	f6g7	b4c4	b4c4
47	6k1/p4pbp/1n2p1pB/8/1q6/2N3PP/PP3P2/3Q2K1 w - - 1 24	d1d8	h6g7	h6g7
48	3Q2k1/p4pbp/1n2p1pB/8/1q6/2N3PP/PP3P2/6K1 b - - 2 24	b4f8	g7f8	g7f8
49	3Q1qk1/p4pbp/1n2p1pB/8/8/2N3PP/PP3P2/6K1 w - - 3 25	d8f8	h6g7	h6g7
50	5Qk1/p4pbp/1n2p1pB/8/8/2N3PP/PP3P2/6K1 b - - 0 25	g8f8	g7f8	g7f8
51	5k2/p4pbp/1n2p1pB/8/8/2N3PP/PP3P2/6K1 w - - 0 26	h6g7	h6g7	h6g7
52	5k2/p4pBp/1n2p1p1/8/8/2N3PP/PP3P2/6K1 b - - 0 26	f8g7	f8g7	f8g7
53	8/p4pkp/1n2p1p1/8/8/2N3PP/PP3P2/6K1 w - - 0 27	g1f1	g1g2	g1g2
54	8/p4pkp/1n2p1p1/8/8/2N3PP/PP3P2/5K2 b - - 1 27	g7f6	b6d7	b6d7
55	8/p4p1p/1n2pkp1/8/8/2N3PP/PP3P2/5K2 w - - 2 28	f1e2	f1g2	f1g2
56	8/p4p1p/1n2pkp1/8/8/2N3PP/PP2KP2/8 b - - 3 28	e6e5	b6d7	b6d7
57	8/p4p1p/1n3kp1/4p3/8/2N3PP/PP2KP2/8 w - - 0 29	e2d3	e2d3	e2d3
58	8/p4p1p/1n3kp1/4p3/8/2NK2PP/PP3P2/8 b - - 1 29	f6e6	b6d7	b6d7
59	8/p4p1p/1n2k1p1/4p3/8/2NK2PP/PP3P2/8 w - - 2 30	a2a3	c3e4	c3e4
60	8/p4p1p/1n2k1p1/4p3/8/P1NK2PP/1P3P2/8 b - - 0 30	a7a5	b6d7	b6d7
61	8/5p1p/1n2k1p1/p3p3/8/P1NK2PP/1P3P2/8 w - - 0 31	c3d1	c3e2	c3e2
62	8/5p1p/1n2k1p1/p3p3/8/P2K2PP/1P3P2/3N4 b - - 1 31	f7f5	b6d5	b6d5
63	8/7p/1n2k1p1/p3pp2/8/P2K2PP/1P3P2/3N4 w - - 0 32	b2b3	d1c3	d1e3
64	8/7p/1n2k1p1/p3pp2/8/PP1K2PP/5P2/3N4 b - - 0 32	e6d5	b6d5	b6d5
65	8/7p/1n4p1/p2kpp2/8/PP1K2PP/5P2/3N4 w - - 1 33	d1e3	d1e3	d1e3
66	8/7p/1n4p1/p2kpp2/8/PP1KN1PP/5P2/8 b - - 2 33	d5c5	d5c5	d5c5
67	8/7p/1n4p1/p1k1pp2/8/PP1KN1PP/5P2/8 w - - 3 34	f2f3	h3h4	h3h4
68	8/7p/1n4p1/p1k1pp2/8/PP1KNPPP/8/8 b - - 0 34	f5f4	b6d7	b6d7
69	8/7p/1n4p1/p1k1p3/5p2/PP1KNPPP/8/8 w - - 0 35	g3f4	g3f4	g3f4
70	8/7p/1n4p1/p1k1p3/5P2/PP1KNP1P/8/8 b - - 0 35	e5f4	e5f4	e5f4
71	8/7p/1n4p1/p1k5/5p2/PP1KNP1P/8/8 w - - 0 36	e3g2	e3g4	e3g4
72	8/7p/1n4p1/p1k5/5p2/PP1K1P1P/6N1/8 b - - 1 36	b6d5	b6d5	b6d5
73	8/7p/6p1/p1kn4/5p2/PP1K1P1P/6N1/8 w - - 2 37	d3e4	h3h4	h3h4
74	8/7p/6p1/p1kn4/4Kp2/PP3P1P/6N1/8 b - - 3 37	d5c3	d5f6	d5f6
75	8/7p/6p1/p1k5/4Kp2/PPn2P1P/6N1/8 w - - 4 38	e4f4	e4f4	e4f4
76	8/7p/6p1/p1k5/5K2/PPn2P1P/6N1/8 b - - 0 38	c3b5	c3b5	c3b5
77	8/7p/6p1/pnk5/5K2/PP3P1P/6N1/8 w - - 1 39	b3b4	a3a4	a3a4
78	8/7p/6p1/pnk5/1P3K2/P4P1P/6N1/8 b - - 0 39	a5b4	a5b4	a5b4
79	8/7p/6p1/1nk5/1p3K2/P4P1P/6N1/8 w - - 0 40	a3b4	a3b4	a3b4
80	8/7p/6p1/1nk5/1P3K2/5P1P/6N1/8 b - - 0 40	c5b4	c5b4	c5b4
81	8/7p/6p1/1n6/1k3K2/5P1P/6N1/8 w - - 0 41	g2h4	h3h4	h3h4
82	8/7p/6p1/1n6/1k3K1N/5P1P/8/8 b - - 1 41	b4c5	b5c3	b5d6
83	8/7p/6p1/1nk5/5K1N/5P1P/8/8 w - - 2 42	h4g6	f4g5	f4g5
84	8/7p/6N1/1nk5/5K2/5P1P/8/8 b - - 0 42	h7g6	h7g6	h7g6
85	8/8/6p1/1nk5/5K2/5P1P/8/8 w - - 0 43	h3h4	h3h4	h3h4
86	8/8/6p1/1nk5/5K1P/5P2/8/8 b - - 0 43	c5d6	b5d4	b5d4
87	8/8/3k2p1/1n6/5K1P/5P2/8/8 w - - 1 44	h4h5	f4e4	f4e4
88	8/8/3k2p1/1n5P/5K2/5P2/8/8 b - - 0 44	d6e7	g6h5	g6h5
89	8/4k3/6p1/1n5P/5K2/5P2/8/8 w - - 1 45	h5g6	h5g6	h5g6
90	8/4k3/6P1/1n6/5K2/5P2/8/8 b - - 0 45	e7f8	b5d6	b5d6
91	5k2/8/6P1/1n6/5K2/5P2/8/8 w - - 1 46	f4e5	f4g5	f4g5
92	5k2/8/6P1/1n2K3/8/5P2/8/8 b - - 2 46	b5a3	f8g7	f8g7
93	5k2/8/6P1/4K3/8/n4P2/8/8 w - - 3 47	f3f4	f3f4	f3f4
94	5k2/8/6P1/4K3/5P2/n7/8/8 b - - 0 47	a3c4	a3c2	a3c2
95	5k2/8/6P1/4K3/2n2P2/8/8/8 w - - 1 48	e5e6	e5d4	e5d4
96	5k2/8/4K1P1/8/2n2P2/8/8/8 b - - 2 48	c4d2	c4e3	c4e3
97	5k2/8/4K1P1/8/5P2/8/3n4/8 w - - 3 49	g6g7	f4f5	f4f5
98	5k2/6P1/4K3/8/5P2/8/3n4/8 b - - 0 49	f8g8	f8g7	f8g7
99	6k1/6P1/4K3/8/5P2/8/3n4/8 w - - 1 50	f4f5	f4f5	f4f5
100	6k1/6P1/4K3/5P2/8/8/3n4/8 b - - 0 50	d2e4	d2c4	d2c4
