Turno	FEN	Stockfish_Move	MCTS_Opinion	MCTS_4000
1	r1bqk2r/pppp1ppp/2n2n2/2b1p3/2BPP3/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 5	e5d4	e5d4,c5b6,c6d4	e5d4,c5b6,c6d4
2	r1bqk2r/pppp1ppp/2n2n2/2b5/2BpP3/2P2N2/PP3PPP/RNBQK2R w KQkq - 0 6	c3d4	c3d4,b2b4,e4e5	b2b4,c3d4,e4e5
3	r1bqk2r/pppp1ppp/2n2n2/2b5/2BPP3/5N2/PP3PPP/RNBQK2R b KQkq - 0 6	c5b4	c5b4,c5b6,d7d5	d7d5,c5b6,c5b4
4	r1bqk2r/pppp1ppp/2n2n2/8/1bBPP3/5N2/PP3PPP/RNBQK2R w KQkq - 1 7	c1d2	b1c3,e1f1,c1d2	c1d2,e1f1,b1c3
5	r1bqk2r/pppp1ppp/2n2n2/8/1bBPP3/5N2/PP1B1PPP/RN1QK2R b KQkq - 2 7	b4d2	d7d5,b4d2,f6e4	d7d5,b4d2,f6e4
6	r1bqk2r/pppp1ppp/2n2n2/8/2BPP3/5N2/PP1b1PPP/RN1QK2R w KQkq - 0 8	b1d2	d1d2,f3d2,b1d2	d1d2,f3d2,b1d2
7	r1bqk2r/pppp1ppp/2n2n2/8/2BPP3/5N2/PP1N1PPP/R2QK2R b KQkq - 0 8	d7d5	d7d6,d7d5,e8g8	d7d6,d7d5,e8g8
8	r1bqk2r/ppp2ppp/2n2n2/3p4/2BPP3/5N2/PP1N1PPP/R2QK2R w KQkq - 0 9	e4d5	c4b5,e4d5,e4e5	c4b5,e4d5,e4e5
